Designator,Mid X,Mid Y,Rotation,Layer
A1,183.4,-80.9125,0.0,top
C1,160.65,-63.85,270.0,top
C10,141.6,-83.6,270.0,top
C11,141.6,-89.8,270.0,top
C12,148.0,-71.6,270.0,top
C13,148.0,-77.6,270.0,top
C14,148.0,-83.6,270.0,top
C15,147.8,-89.6,270.0,top
C16,153.6,-71.6,270.0,top
C17,153.4,-77.6,270.0,top
C18,153.4,-83.6,270.0,top
C19,153.4,-89.6,270.0,top
C2,158.59,-63.85,270.0,top
C20,144.8,-64.6,90.0,top
C21,146.8,-64.6,90.0,top
C22,183.6,-88.1,180.0,bottom
C23,183.579791,-86.5,180.0,bottom
C24,183.579791,-84.9,180.0,bottom
C25,183.579791,-83.3,180.0,bottom
C26,183.6,-81.7,180.0,bottom
C3,161.2,-98.8,0.0,top
C4,161.2,-100.8,0.0,top
C5,196.6,-64.4,90.0,top
C6,196.6,-69.9,270.0,top
C7,167.15,-61.55,0.0,top
C8,141.6,-71.6,270.0,top
C9,141.6,-77.6,270.0,top
D1,150.2,-60.4,270.0,top
D2,164.15,-62.75,90.0,top
D3,154.6,-60.39,270.0,top
D4,146.2,-100.2,90.0,top
D5,148.99,-100.2,90.0,top
D6,140.59,-100.2,90.0,top
D7,143.4,-100.2,90.0,top
FB1,161.35,-61.25,180.0,top
J1,133.6,-81.0125,270.0,top
J2,140.5875,-63.0675,180.0,top
J3,162.0,-56.0,180.0,top
J4,160.0,-97.5,180.0,bottom
J5,196.9,-85.1,180.0,top
L10,145.8,-62.2,0.0,top
L5,150.8,-70.6,0.0,top
L6,150.8,-76.8,0.0,top
L7,150.8,-82.8,0.0,top
L8,150.8,-88.6,0.0,top
L9,145.8,-67.0,0.0,top
R1,195.8,-58.2,270.0,top
R10,160.2,-74.0,180.0,bottom
R11,160.2,-78.6,180.0,bottom
R12,160.2,-82.6,180.0,bottom
R13,160.4,-87.6,180.0,bottom
R14,139.2,-70.8,0.0,top
R15,139.2,-76.8,0.0,top
R16,139.1,-82.8,0.0,top
R17,139.0,-89.0,0.0,top
R18,144.7,-69.6,0.0,top
R19,144.7,-73.6,0.0,top
R20,144.7,-75.6,0.0,top
R21,144.7,-79.6,0.0,top
R22,144.7,-81.6,0.0,top
R23,144.7,-85.6,0.0,top
R24,144.7,-87.75,0.0,top
R25,144.6,-91.75,0.0,top
R26,139.2,-72.4,0.0,top
R27,139.2,-78.4,0.0,top
R28,139.1,-84.4,0.0,top
R29,139.0,-90.6,0.0,top
R3,168.2,-79.48,180.0,top
R30,168.2,-66.67,0.0,top
R31,168.2,-69.48,0.0,top
R32,168.2,-72.2,0.0,top
R33,168.2,-75.03,0.0,top
R34,151.0,-62.8,180.0,top
R35,154.6,-63.6,90.0,top
R36,146.2,-96.8,270.0,top
R37,148.99,-96.8,270.0,top
R38,140.59,-96.8,270.0,top
R39,143.4,-96.8,270.0,top
R4,168.2,-81.99,180.0,top
R40,187.6,-82.0,180.0,bottom
R5,168.2,-84.5,180.0,top
R6,168.2,-87.01,180.0,top
RN1,155.4,-99.4,180.0,top
RN2,166.0,-98.8,180.0,top
RN3,168.6,-94.0,90.0,top
RN4,165.175,-82.875,90.0,bottom
RN5,187.7,-85.5,270.0,bottom
U1,161.0,-84.0,270.0,top
U2,161.0,-71.5,270.0,top
